,title,price,material,link,jewelry_type
0,gold plated but fancy for the price,10,gold,https://charlottesville.craigslist.org/jwl/d/greenwood-gold-plated-but-fancy-for-the/7821637508.html,missing
1,"> ladies ring - amethyst, diamonds & 10k gold, vintage piece <",0,missing,https://charlottesville.craigslist.org/jwl/d/charlottesville-ladies-ring-amethyst/7820323473.html,ring
2,seiko watch,50,missing,https://charlottesville.craigslist.org/jwl/d/spotsylvania-seiko-watch/7823041106.html,watch
3,older jewelry box,10,missing,https://charlottesville.craigslist.org/jwl/d/troy-older-jewelry-box/7822979233.html,box
4,rolex submariner w date 16610 excellent condition!!!,9500,missing,https://charlottesville.craigslist.org/jwl/d/charlottesville-rolex-submariner-date/7817825843.html,missing
5,"jewlery by the 5 pounds for $25 each vintage and antique. earrings, necklaces, b",25,missing,https://charlottesville.craigslist.org/jwl/d/charlottesville-jewlery-by-the-pounds/7823431207.html,missing
6,ruby rose gold ring,300,gold,https://charlottesville.craigslist.org/jwl/d/charlottesville-ruby-rose-gold-ring/7824105126.html,ring
7,vintage monet gold tone black enamel pierced earrings,18,gold,https://charlottesville.craigslist.org/jwl/d/quinque-vintage-monet-gold-tone-black/7823595047.html,missing
8,reed and barton damascene choker and bracelet,40,missing,https://charlottesville.craigslist.org/jwl/d/earlysville-reed-and-barton-damascene/7818778068.html,choker
9,new jeweled heart trinket box with hanger,35,missing,https://charlottesville.craigslist.org/jwl/d/earlysville-new-jeweled-heart-trinket/7818774505.html,box
10,rare monticello gold-plated tie tac - unused,15,missing,https://charlottesville.craigslist.org/jwl/d/faber-rare-monticello-gold-plated-tie/7822862748.html,missing
11,10kt yellow gold blue topaz & diamond cocktail ring,350,gold,https://charlottesville.craigslist.org/jwl/d/ruckersville-10kt-yellow-gold-blue/7822596090.html,ring
12,vintage mother rhinestone enamel floral brooch pin,20,missing,https://charlottesville.craigslist.org/jwl/d/earlysville-vintage-mother-rhinestone/7818718738.html,pin
13,"gold glass heart pendant crystal bead necklace 16 - 18"" & earrings",15,gold,https://charlottesville.craigslist.org/jwl/d/earlysville-gold-glass-heart-pendant/7821875337.html,necklace
14,20g. perth mint gold in assay (see description,1500,gold,https://charlottesville.craigslist.org/jwl/d/appomattox-20g-perth-mint-gold-in-assay/7821194195.html,missing
15,diamond solitaire ring,300,diamond,https://charlottesville.craigslist.org/jwl/d/ruckersville-diamond-solitaire-ring/7818304870.html,ring
16,musical jewelry box,10,missing,https://charlottesville.craigslist.org/jwl/d/troy-musical-jewelry-box/7810859041.html,box
17,heavy silver & turquoise bracelet,400,silver,https://charlottesville.craigslist.org/jwl/d/charlottesville-heavy-silver-turquoise/7810510330.html,bracelet
18,matte black oakley si crosshair sunglasses,200,missing,https://charlottesville.craigslist.org/jwl/d/quinque-matte-black-oakley-si-crosshair/7816518334.html,missing
19,raymond weil gold plated watch,150,gold,https://charlottesville.craigslist.org/jwl/d/nellysford-raymond-weil-gold-plated/7809377790.html,watch
20,raymond weil 18k gold plated watch 9006,125,gold,https://charlottesville.craigslist.org/jwl/d/nellysford-raymond-weil-18k-gold-plated/7809386720.html,watch
21,porsche design automatic watch,1200,missing,https://charlottesville.craigslist.org/jwl/d/nellysford-porsche-design-automatic/7808407669.html,watch
22,"silver puzzle ring, 4 bands, size 10.5",50,silver,https://charlottesville.craigslist.org/jwl/d/pratts-silver-puzzle-ring-bands-size-105/7815223920.html,missing
23,bunch watches,10,missing,https://charlottesville.craigslist.org/jwl/d/troy-bunch-watches/7808894989.html,missing
